site,date,time,temp,dew
BALASUCMD1,2016-06-29,13:22:00,81,60.1
BALASUCMD1,2016-07-06,07:52:00,82,73
BALASUCMD1,2016-07-15,09:37:00,86,66.9
BALASUCMD1,2016-07-22,07:09:00,75,71.1
BALASUCMD1,2016-08-16,06:31:00,75,73
BALASUCMD1,2016-08-23,12:05:00,80.1,55.9
BARBJERMD1,2016-06-24,10:58:00,81,69.1
BARBJERMD1,2016-07-01,08:15:00,73.9,70
BARBJERMD1,2016-07-12,08:22:00,73.9,68
BARBJERMD1,2016-07-19,08:49:00,82,70
BARBJERMD1,2016-08-23,10:01:00,77,57
BARBJERMD1,2016-08-30,09:35:00,80.1,63
BEALTOMMD1,2016-06-20,08:48:00,75,57.9
BEALTOMMD1,2016-06-27,11:13:00,79,66.9
BEALTOMMD1,2016-07-13,07:02:00,77,73
BEALTOMMD1,2016-07-20,09:12:00,75.9,66.9
BEALTOMMD1,2016-08-21,10:55:00,82,75
BEALTOMMD1,2016-08-28,10:17:00,80.1,72
BLOCDAVMD1,2016-06-27,09:35:00,77,66.9
BLOCDAVMD1,2016-07-04,09:09:00,70,66
BLOCDAVMD1,2016-07-13,11:00:00,84,75
BLOCDAVMD1,2016-07-20,06:10:00,70,66.9
BLOCDAVMD1,2016-08-05,11:24:00,80.1,68
BLOCDAVMD1,2016-08-12,08:04:00,82.9,73
BRIGKIMMD1,2016-06-09,12:21:00,75,48
BRIGKIMMD1,2016-06-16,08:38:00,72,68
BRIGKIMMD1,2016-07-05,11:06:00,82,73
BRIGKIMMD1,2016-07-12,07:20:00,73,66.9
BRIGKIMMD1,2016-08-02,07:08:00,75.9,73
BRIGKIMMD1,2016-08-09,08:56:00,73.9,64
BROWANNDC1,2016-06-15,10:32:00,73.9,61
BROWANNDC1,2016-06-22,10:07:00,81,55.9
BROWANNDC1,2016-07-11,07:49:00,75.9,61
BROWANNDC1,2016-07-18,13:10:00,91.9,75
BROWANNDC1,2016-08-22,11:43:00,81,61
BROWANNDC1,2016-08-29,06:26:00,73,66.9
BROWANNMD1,2016-06-21,12:36:00,89.1,66
BROWANNMD1,2016-06-28,11:26:00,80.1,73
BROWANNMD1,2016-07-05,07:37:00,82,73
BROWANNMD1,2016-07-12,10:04:00,80.1,71.1
BROWANNMD1,2016-08-02,09:52:00,82,73
BROWANNMD1,2016-08-09,11:15:00,75.9,64.9
BUISNORVA1,2016-06-06,15:10:00,86,59
BUISNORVA1,2016-06-13,12:56:00,75,51.1
BUISNORVA1,2016-07-25,07:48:00,84.9,75.9
BUISNORVA1,2016-08-01,08:42:00,82,72
BUISNORVA1,2016-08-08,09:57:00,82.9,62.1
BUISNORVA1,2016-08-15,08:57:00,84,69.1
BURDROBVA1,2016-06-13,11:18:00,72,48.9
BURDROBVA1,2016-06-20,14:04:00,88,55.9
BURDROBVA1,2016-07-18,11:48:00,90,75.9
BURDROBVA1,2016-07-25,08:53:00,88,75
BURDROBVA1,2016-08-22,09:30:00,75.9,61
BURDROBVA1,2016-08-29,07:44:00,75.9,66.9
CAMPGLOMD1,2016-06-17,10:48:00,70,63
CAMPGLOMD1,2016-06-24,12:25:00,82.9,70
CAMPGLOMD1,2016-07-06,09:48:00,84,73
CAMPGLOMD1,2016-07-13,08:39:00,78.1,73.9
CAMPGLOMD1,2016-08-02,06:09:00,75.9,72
CAMPGLOMD1,2016-08-09,06:23:00,69.1,64.9
CAMPROSMD1,2016-06-20,06:46:00,70,55.9
CAMPROSMD1,2016-06-27,08:39:00,75,66.9
CAMPROSMD1,2016-07-15,10:25:00,86,66.9
CAMPROSMD1,2016-07-22,08:33:00,79,71.1
CAMPROSMD1,2016-08-13,06:38:00,81,87.3
CAMPROSMD1,2016-08-20,06:59:00,75,71.1
CLARCOLDC1,2016-06-24,07:55:00,73.9,69.1
CLARCOLDC1,2016-07-01,13:49:00,86,71.1
CLARCOLDC1,2016-07-07,07:24:00,80.1,75
CLARCOLDC1,2016-07-14,10:41:00,88,75.9
CLARCOLDC1,2016-08-15,10:51:00,88,69.1
CLARCOLDC1,2016-08-22,12:46:00,81,61
COLSKATMD1,2016-06-14,14:38:00,78.1,48
COLSKATMD1,2016-06-21,14:28:00,84.9,68
COLSKATMD1,2016-07-12,06:17:00,73.9,64.9
COLSKATMD1,2016-07-19,11:38:00,86,66
COLSKATMD1,2016-08-16,07:40:00,77,73
COLSKATMD1,2016-08-23,07:58:00,70,61
EGANMARMD1,2016-06-10,16:11:00,81,50
EGANMARMD1,2016-06-17,08:02:00,66.9,62.1
EGANMARMD1,2016-07-04,10:59:00,71.1,66
EGANMARMD1,2016-07-11,08:53:00,75.9,61
EGANMARMD1,2016-08-03,06:00:00,72,66
EGANMARMD1,2016-08-10,09:31:00,82,73.9
FARYSIMMD1,2016-06-16,06:47:00,72,69.1
FARYSIMMD1,2016-06-23,06:20:00,73,69.1
FARYSIMMD1,2016-07-11,10:27:00,81,61.1
FARYSIMMD1,2016-07-18,06:11:00,77,71.1
FARYSIMMD1,2016-08-13,07:44:00,84,75.9
FARYSIMMD1,2016-08-20,07:22:00,75,71.1
FISHFERVA1,2016-06-09,07:52:00,64,46.9
FISHFERVA1,2016-06-16,11:55:00,78.1,69.1
FISHFERVA1,2016-07-25,13:19:00,95,75.9
FISHFERVA1,2016-08-01,06:07:00,75.9,72
FISHFERVA1,2016-08-19,08:05:00,79,66.9
FISHFERVA1,2016-08-26,07:20:00,77,75
GECACARVA1,2016-06-13,09:29:00,69.1,48.9
GECACARVA1,2016-06-20,12:34:00,87.1,55
GECACARVA1,2016-07-07,08:49:00,86,70
GECACARVA1,2016-07-14,09:29:00,86,75
